1062023,,,,,,01062023 -LIB_ECRITURE :Virement CIH -NUM_PIECE :1271125-,REGULCDT,0,13600000,,,113111BTGRL
1062023,,,,,,01062023 -LIB_ECRITURE :IMPUTATION DEBIT BAM OV -NUM_PIECE :1272921-,REGULCDT,0,44,,,113111BTGRL
23062023,,,,,,23062023 -LIB_ECRITURE :Virement vers AWB_PRINCIP -NUM_PIECE :1284982-,REGULCDT,0,10000000,,,113111BTGRL
23062023,,,,,,23062023 -LIB_ECRITURE :Virement vers BMCE CORPOR -NUM_PIECE :1284984-,REGULCDT,0,3400000,,,113111BTGRL
28062023,,,,,,052023-FACTURE PRESTATION CNT,REGULDBT,,130948,,,113111BTGRL
30062023,,,,,,SORT PPR 06-2023,REGULCDT,13102393,,,,
30062023,,,,,,TP PPR 30/06/2023,REGULCDT,552673,,,,
30062023,,,,,,SORT PPR 06-2023,REGULCDT,162917,,,,
30062023,,,,,,SORT PPR 04-2023,REGULCDT,160566,,,,
30062023,,,,,,SORT PPR 05-2023,REGULCDT,131435,,,,
30062023,,,,,,IMPAYE ANT PPR 30/06/2023,REGULCDT,0,16108,,,
1062023,,,,,3.10523E+11,90821180 - VIRI - 310523219039,VIRTRECU,3712,,,,121111BBCM1
1062023,,,,,10623466153,91356780 - VIRI - 010623466153,VIRTRECU,2100,,,,121111BBCM1
1062023,,,,,1.31222E+11,90052960 - VIRI - 131222172245,VIRTRECU,2386,,,,121111BBCM1
1062023,,,,,3.10523E+11,75089560 - VIRI - 310523328081,VIRTRECU,991,,,,
1062023,,,,,060423B04841,75545390 - VIRI - 060423B04841,VIRTRECU,3500,,,,121111BBCM1
1062023,,,,,10623234851,75100630 - VIRI - 010623234851,VIRTRECU,2250,,,,121111BBCM1
1062023,,,,,3.00524E+11,74793500 - VIRI - 300523606518,VIRTRECU,2325,,,,121111BBCM1
1062023,,,,,3.10523E+11,74403280 - VIRI - 310523058520,VIRTRECU,4500,,,,121111BBCM1
1062023,,,,,2.60523E+11,90122500 - VIRI - 260523480110,VIRTRECU,61212,,,,121111BBCM1
